"code","sex","age","BISImAt","BISImpMOT","BISImpNP","BISTOT","NFC","likemagic","surpmagic","predmagic","explA","explB","confmagic","easymagic","howmagic","newmagic","crt1","crt2","crt3","crt4","crt5","crt6","crt7","norm1","norm2","norm3","norm4","norm5","norm6","norm7","normtot","totscien","span_for","span_back","num_ab"
"16CC22",2,19,NA,NA,NA,NA,NA,4,4,1,2,2,3,4,4,4,47,10,5,9,30,10,1,"1,00","0,00","1,00","0,00","0,00","0,00","0,00","2,00","0,00",NA,NA,NA
"60AF17",1,19,NA,NA,NA,NA,NA,5,4,4,2,2,3,3,5,4,47,10,5,9,30,10,3,"1,00","0,00","1,00","0,00","0,00","0,00","1,00","3,00","0,00",NA,NA,NA
"74VC02",2,20,NA,NA,NA,NA,NA,5,4,2,2,2,3,3,5,5,24,10,5,9,30,10,2,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"19FI24",1,18,19,21,28,68,67,5,NA,3,2,1,3,3,5,5,47,5,5,4,29,20,3,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","7,00","0,00",NA,NA,6
"88CD08",2,18,NA,NA,NA,NA,NA,5,4,4,2,2,3,2,5,5,47,5,100,9,15,10,2,"1,00","1,00","0,00","0,00","0,00","0,00","0,00","2,00","3,00",NA,NA,NA
"38UB19",2,19,17,19,28,64,52,4,5,1,2,2,2,4,5,5,24,NA,100,9,30,80,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,5
"16LB16",2,21,NA,NA,NA,NA,NA,3,3,4,1,1,NA,4,3,2,47,5,NA,4,29,20,3,"1,00","1,00","0,00","1,00","1,00","1,00","1,00","6,00","0,00",NA,NA,NA
"96LG06",2,21,22,20,33,75,64,4,4,3,2,1,2,4,5,3,47,5,5,4,29,10,2,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","5,00","0,00",NA,NA,NA
"87GG15",2,19,NA,NA,NA,NA,NA,4,4,1,1,1,3,3,4,5,47,10,100,6,15,20,2,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","0,00",NA,NA,NA
"58IB05",2,20,36,20,21,77,83,5,5,1,2,2,4,4,5,5,47,10,100,12,1,20,2,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","0,00",NA,NA,6
"42EB04",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,2,3,4,4,24,NA,NA,NA,NA,10,3,"0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","0,00",NA,NA,NA
"43SF19",2,18,NA,NA,NA,NA,NA,5,5,4,2,2,1,2,5,4,24,90,20,NA,NA,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"15TG20",1,19,NA,NA,NA,NA,NA,5,4,1,2,2,3,5,5,5,47,5,5,4,29,20,3,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","7,00","0,00",NA,NA,NA
"18GB21",2,19,18,18,16,52,70,5,4,5,3,3,1,5,5,5,47,5,100,9,29,20,2,"1,00","1,00","0,00","0,00","1,00","1,00","0,00","4,00","1,00",NA,NA,5
"19LD13",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,100,9,16,10,1,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,NA
"95LC19",1,19,NA,NA,NA,NA,NA,5,4,1,3,3,1,5,5,5,24,5,100,4,30,10,3,"0,00","1,00","0,00","1,00","0,00","0,00","1,00","3,00","0,00",NA,NA,NA
"10EB27",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,2,2,4,4,24,70,100,NA,NA,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00",NA,NA,NA
"46GF28",2,19,14,16,21,51,64,4,4,2,2,2,3,4,5,5,24,5,100,12,30,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,6
"39GE01",1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,5,5,4,15,20,3,"0,00","1,00","1,00","1,00","0,00","1,00","1,00","5,00","",NA,NA,NA
"36VC24",2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,20,2,29,20,3,"0,00","1,00","0,00","0,00","1,00","1,00","1,00","4,00","",NA,NA,NA
"23VB11",2,18,18,19,21,58,75,4,5,4,2,1,2,2,5,5,1,10,20,12,30,20,NA,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","",NA,NA,4
"60MC15",2,18,21,27,34,82,67,4,4,2,2,1,2,1,5,5,47,10,100,9,30,10,NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,6
"77EA23",2,19,16,19,24,59,64,3,4,2,2,2,3,3,4,3,24,10,100,9,15,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
