subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
19,3,0.088,0.093,0.009,0.154,0.293,1.405,0.279
19,4,0.084,0.077,0.001,0.04,0.286,1.318,0.312
20,1,0.116,0.173,0.044,0.003,0.402,1.364,0.322
20,2,0.135,0.081,0.041,0.003,0.292,1.503,0.402
20,3,0.228,0.087,0.053,0.029,0.38,1.31,0.347
20,4,0.146,0.1,0.004,0.048,0.308,1.518,0.363
21,1,0.155,0.078,0.067,0.075,0.331,1.37,0.25
21,2,0.09,0.066,0.019,0.013,0.338,1.42,0.306
21,3,0.13,0.103,0.028,0.193,0.385,1.346,0.185
21,4,0.119,0.089,0.021,0.206,0.393,1.28,0.21
22,1,0.103,0.087,0.102,0.143,0.355,1.26,0.337
22,2,0.202,0.101,0.004,0.32,0.519,1.129,0.19
22,3,0.258,0.13,0.153,0.376,0.536,1.033,0.174
22,4,0.18,0.122,0.103,0.2,0.512,1.024,0.224
23,1,0.105,0.17,0.09,0.002,0.398,1.366,0.259
23,2,0.09,0.07,0.005,0.005,0.28,1.41,0.287
23,3,0.066,0.081,0.02,0.042,0.379,1.405,0.303
23,4,0.112,0.091,0.003,0.047,0.418,1.425,0.225
24,1,0.179,0.069,0.002,0.211,0.399,1.246,0.277
24,2,0.212,0.061,0.089,0.05,0.354,1.3,0.331
24,3,0.216,0.065,0.365,0.168,0.398,1.103,0.251
24,4,0.173,0.066,0.167,0.166,0.376,1.208,0.286
25,1,0.14,0.1,0.084,0.119,0.313,1.353,0.251
25,2,0.258,0.065,0.105,0.072,0.314,1.307,0.267
25,3,0.309,0.053,0.125,0.043,0.325,1.276,0.262
25,4,0.209,0.08,0.109,0.099,0.321,1.308,0.247
26,1,0.471,0.071,0.068,0,0.415,1.194,0.145
26,2,0.302,0.059,0.061,0.02,0.388,1.294,0.284
26,3,0.294,0.047,0.152,0.01,0.342,1.288,0.276
26,4,0.254,0.081,0.074,0.04,0.452,1.218,0.267
27,1,0.172,0.213,0.045,0,0.634,1.072,0.288
27,2,0.201,0.171,0.001,0.048,0.662,1.085,0.332
27,3,0.181,0.091,0.091,0.066,0.363,1.317,0.382
27,4,0.497,0.062,0.034,0.048,0.494,1.127,0.136
28,1,0.101,0.107,0.085,0.011,0.306,1.387,0.269
28,2,0.148,0.097,0.024,0.257,0.416,1.116,0.2
28,3,0.117,0.067,0.016,0.244,0.397,1.121,0.277
28,4,0.268,0.1,0.1,0.272,0.56,1.137,0.123
29,1,0.231,0.089,0.098,0.07,0.322,1.32,0.234
29,2,0.217,0.088,0.092,0.078,0.385,1.303,0.235
29,3,0.208,0.059,0.097,0.086,0.328,1.288,0.302
29,4,0.112,0.095,0.125,0.125,0.388,1.242,0.301
30,1,0.365,0.148,0.26,0.172,0.344,1.184,0.018
30,2,0.171,0.125,0.241,0.265,0.312,0.9,0.238
30,3,0.183,0.153,0.136,0.225,0.367,1.312,0.104
30,4,0.16,0.217,0.406,0.147,0.639,1.041,0.242
31,1,0.211,0.082,0.199,0.002,0.308,1.314,0.235
31,2,0.143,0.089,0.064,0.001,0.42,1.347,0.291
31,3,0.168,0.091,0.022,0.016,0.376,1.382,0.206
31,4,0.117,0.078,0.001,0.049,0.37,1.441,0.296
32,1,0.175,0.084,0.124,0.024,0.34,1.331,0.249
32,2,0.148,0.085,0.1,0.006,0.365,1.307,0.278
32,3,0.197,0.087,0.096,0.072,0.346,1.325,0.245
32,4,0.162,0.087,0.129,0.023,0.343,1.363,0.229
33,1,0.084,0.141,0.035,0.071,0.351,1.348,0.328
33,2,0.332,0.058,0.082,0.04,0.349,1.305,0.231
33,3,0.115,0.098,0.146,0.001,0.263,1.298,0.241
33,4,0.19,0.084,0.123,0.055,0.342,1.342,0.254
