subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
53,3,0.113,0.074,0.061,0.002,0.392,1.374,0.281
53,4,0.123,0.078,0.001,0.216,0.392,1.269,0.252
54,1,0.294,0.161,0.117,0.041,0.345,1.404,0.041
54,2,0.122,0.096,0.109,0.006,0.332,1.347,0.265
54,3,0.132,0.082,0.104,0.042,0.313,1.301,0.244
54,4,0.115,0.086,0.048,0.083,0.353,1.256,0.283
55,1,0.122,0.192,0.114,0.014,0.3,1.346,0.165
55,2,0.123,0.145,0.078,0.076,0.291,1.359,0.171
55,3,0.149,0.112,0.12,0.108,0.293,1.323,0.237
55,4,0.128,0.121,0.124,0.12,0.28,1.336,0.242
56,1,0.138,0.071,0.104,0.334,0.38,1.091,0.275
56,2,0.122,0.072,0.14,0.196,0.348,1.326,0.305
56,3,0.127,0.073,0.135,0.15,0.339,1.321,0.258
56,4,0.111,0.067,0.091,0.16,0.395,1.302,0.266
57,1,0.07,0.145,0.129,0.001,0.355,1.326,0.375
57,2,0.211,0.09,0.114,0.003,0.358,1.326,0.253
57,3,0.127,0.081,0.056,0.001,0.373,1.36,0.299
57,4,0.159,0.082,0.094,0.001,0.352,1.337,0.291
58,1,0.141,0.228,0.041,0.048,0.439,1.265,0.131
58,2,0.13,0.128,0.016,0.092,0.407,1.293,0.227
58,3,0.137,0.113,0.093,0.199,0.37,1.241,0.246
58,4,0.203,0.086,0.116,0.115,0.317,1.275,0.233
59,1,0.169,0.136,0.043,0.031,0.331,1.552,0.099
59,2,0.137,0.104,0.013,0.209,0.358,1.344,0.182
59,3,0.124,0.095,0.003,0.025,0.393,1.291,0.22
59,4,0.137,0.101,0.051,0.223,0.33,1.296,0.194
60,1,0.115,0.216,0.072,0.041,0.392,1.31,0.255
60,2,0.086,0.119,0.11,0.035,0.27,1.397,0.398
60,3,0.126,0.121,0.123,0.092,0.365,1.214,0.358
60,4,0.13,0.097,0.09,0.077,0.388,1.219,0.398
61,1,0.226,0.303,0.038,0.032,0.592,1.172,0.594
61,2,0.342,0.213,0.138,0.003,0.382,1.034,0.366
61,3,0.225,0.332,0.148,0.005,0.368,1.432,0.081
61,4,0.363,0.094,0.006,0.142,0.34,1.279,0.495
62,1,0.187,0.103,0.095,0.098,0.309,1.324,0.245
62,2,0.066,0.104,0.115,0.065,0.381,1.481,0.297
62,3,0.188,0.108,0.136,0.124,0.303,1.313,0.204
62,4,0.137,0.08,0.003,0.001,0.352,1.492,0.246
63,1,0.155,0.191,0.058,0.021,0.227,1.456,0.208
63,2,0.111,0.103,0.09,0.085,0.329,1.303,0.35
63,3,0.209,0.153,0.123,0.112,0.364,1.254,0.211
63,4,0.185,0.101,0.14,0.116,0.321,1.286,0.228
64,1,0.113,0.109,0.005,0.005,0.307,1.502,0.203
64,2,0.108,0.092,0.004,0.141,0.394,1.377,0.236
64,3,0.157,0.088,0.116,0.047,0.348,1.388,0.221
64,4,0.141,0.087,0.007,0.107,0.373,1.401,0.206
65,1,0.321,0.079,0.103,0.084,0.294,1.31,0.203
65,2,0.137,0.093,0.111,0.143,0.309,1.296,0.265
65,3,0.142,0.074,0.03,0.181,0.34,1.307,0.294
65,4,0.119,0.069,0.014,0.179,0.296,1.403,0.27
66,1,0.219,0.073,0.102,0.051,0.286,1.376,0.255
66,2,0.125,0.098,0.07,0.178,0.363,1.283,0.201
66,3,0.131,0.079,0.108,0.217,0.375,1.183,0.258
66,4,0.135,0.118,0.203,0.126,0.501,1.217,0.218
67,1,0.315,0.154,0.027,0.001,0.376,1.197,0.463
67,2,0.275,0.143,0.072,0.004,0.517,1.079,0.467
67,3,0.087,0.107,0.149,0.003,0.368,1.197,0.292
67,4,0.119,0.084,0.032,0.079,0.303,1.377,0.257
68,1,0.312,0.127,0.238,0.001,0.363,1.081,0.389
68,2,0.245,0.098,0.035,0,0.315,1.127,0.386
68,3,0.253,0.091,0.009,0.002,0.353,1.012,0.382
68,4,0.182,0.158,0.052,0.007,0.447,1.235,0.363
69,1,0.135,0.089,0.15,0.18,0.329,1.283,0.215
69,2,0.153,0.091,0.161,0.122,0.388,1.307,0.19
69,3,0.107,0.097,0.13,0.146,0.419,1.278,0.227
69,4,0.082,0.076,0.315,0.256,0.441,0.758,0.304
70,1,0.237,0.099,0.113,0.079,0.311,1.315,0.232
70,2,0.224,0.085,0.096,0.067,0.314,1.309,0.284
70,3,0.193,0.109,0.122,0.097,0.293,1.3,0.262
70,4,0.226,0.101,0.114,0.085,0.246,1.347,0.24
71,1,0.162,0.1,0.265,0.186,0.405,1.259,0.219
71,2,0.275,0.111,0.138,0.227,0.533,1.176,0.098
71,3,0.077,0.148,0.162,0.175,0.721,0.949,0.283
71,4,0.127,0.155,0.068,0.297,0.963,1.044,0.247
72,1,0.31,0.303,0.001,0,0.536,1.017,0.43
72,2,0.384,0.214,0.103,0.002,0.572,1.061,0.515
72,3,0.474,0.115,0.02,0.005,0.524,0.905,0.418
72,4,0.439,0.156,0.262,0.009,0.471,1.04,0.513
73,1,0.332,0.153,0.267,0.004,0.427,1.202,0.499
73,2,0.119,0.2,0.064,0.022,0.386,1.327,0.554
73,3,0.315,0.105,0.158,0.004,0.589,0.976,0.374
73,4,0.243,0.123,0.202,0.072,0.624,1.172,0.441
74,1,0.078,0.085,0.017,0.029,0.289,1.437,0.251
74,2,0.103,0.072,0.126,0.228,0.345,1.278,0.278
74,3,0.117,0.089,0.018,0.254,0.376,1.322,0.226
74,4,0.109,0.075,0.024,0.192,0.442,1.298,0.269
75,1,0.221,0.168,0.079,0.041,0.313,1.256,0.268
75,2,0.228,0.165,0.093,0.003,0.359,1.422,0.174
75,3,0.131,0.095,0.114,0.1,0.31,1.296,0.312
75,4,0.099,0.157,0.099,0.033,0.414,1.25,0.392
76,1,0.083,0.138,0.109,0.024,0.231,1.295,0.262
76,2,0.121,0.196,0.101,0.001,0.317,1.308,0.24
76,3,0.193,0.1,0.102,0.07,0.338,1.304,0.333
76,4,0.21,0.105,0.081,0.073,0.267,1.36,0.308
77,1,0.133,0.292,0.019,0.001,0.471,1.379,0.2
77,2,0.133,0.178,0.079,0,0.275,1.478,0.277
77,3,0.128,0.267,0.054,0.001,0.303,1.315,0.348
77,4,0.411,0.131,0.093,0.003,0.222,1.254,0.188
78,1,0.105,0.184,0.1,0.064,0.308,1.332,0.276
78,2,0.319,0.103,0.138,0.074,0.224,1.429,0.155
78,3,0.196,0.222,0.165,0.001,0.216,1.41,0.093
78,4,0.294,0.123,0.106,0.095,0.225,1.433,0.08
79,1,0.064,0.073,0.052,0.002,0.347,1.409,0.298
79,2,0.069,0.067,0.1,0.093,0.381,1.372,0.272
79,3,0.069,0.071,0.109,0.078,0.42,1.352,0.292
79,4,0.089,0.069,0.084,0.093,0.402,1.339,0.25
80,1,0.197,0.089,0.07,0.081,0.227,1.415,0.305
80,2,0.139,0.126,0.133,0.095,0.299,1.293,0.234
80,3,0.19,0.1,0.127,0.116,0.32,1.308,0.222
80,4,0.174,0.118,0.146,0.126,0.33,1.275,0.2
81,1,0.115,0.127,0.043,0.034,0.378,1.379,0.38
81,2,0.21,0.079,0.088,0.038,0.368,1.279,0.36
81,3,0.247,0.086,0.09,0.076,0.334,1.311,0.235
81,4,0.278,0.069,0.092,0.067,0.329,1.3,0.252
82,1,0.279,0.059,0.132,0.047,0.205,1.32,0.242
82,2,0.136,0.095,0.117,0.095,0.323,1.318,0.287
82,3,0.225,0.071,0.096,0.087,0.347,1.282,0.252
82,4,0.095,0.092,0.005,0.065,0.285,1.39,0.262
83,1,0.274,0.091,0.158,0.019,0.316,1.339,0.206
83,2,0.101,0.072,0.027,0.005,0.28,1.487,0.31
83,3,0.095,0.074,0.004,0.001,0.283,1.404,0.292
83,4,0.093,0.067,0.019,0.027,0.351,1.424,0.305
84,1,0.121,0.173,0.048,0.006,0.365,1.291,0.293
84,2,0.201,0.093,0.088,0.059,0.333,1.318,0.338
84,3,0.242,0.091,0.097,0.063,0.329,1.297,0.263
84,4,0.177,0.086,0.113,0.064,0.337,1.322,0.263
85,1,0.497,0.125,0.061,0,0.526,1.056,0.017
85,2,0.235,0.071,0.093,0.06,0.333,1.296,0.299
85,3,0.333,0.054,0.16,0.002,0.341,1.263,0.231
85,4,0.221,0.054,0.128,0.014,0.357,1.299,0.299
86,1,0.085,0.135,0.108,0,0.463,1.186,0.377
86,2,0.219,0.067,0.063,0.029,0.39,1.319,0.36
86,3,0.302,0.07,0.078,0.001,0.375,1.321,0.266
86,4,0.353,0.085,0.171,0.001,0.336,1.267,0.15
87,1,0.077,0.211,0.064,0,0.517,1.272,0.354
87,2,0.482,0.079,0.014,0.033,0.347,1.313,0.082
87,3,0.221,0.062,0.094,0.038,0.349,1.305,0.318
87,4,0.175,0.091,0.157,0.027,0.469,1.129,0.259
88,1,0.208,0.155,0.022,0.001,0.364,1.434,0.307
88,2,0.134,0.096,0.037,0.014,0.375,1.341,0.422
88,3,0.106,0.079,0.1,0.081,0.347,1.268,0.411
88,4,0.241,0.061,0.087,0.054,0.348,1.288,0.32
89,1,0.155,0.099,0.064,0.078,0.311,1.379,0.207
89,2,0.194,0.087,0.084,0.051,0.3,1.384,0.206
89,3,0.135,0.148,0.085,0.097,0.309,1.326,0.153
89,4,0.112,0.099,0.045,0.05,0.256,1.539,0.219
90,1,0.327,0.186,0.109,0.077,0.385,1.25,0.018
90,2,0.186,0.129,0.102,0.271,0.448,1.286,0.226
90,3,0.141,0.105,0.081,0.23,0.402,1.211,0.262
90,4,0.114,0.099,0.072,0.164,0.386,1.334,0.29
91,1,0.045,0.169,0.065,0.001,0.324,1.379,0.442
91,2,0.074,0.064,0.004,0.001,0.258,1.412,0.328
91,3,0.085,0.114,0.015,0,0.355,1.345,0.256
91,4,0.1,0.093,0.007,0.002,0.308,1.462,0.25
92,1,0.148,0.098,0.052,0.185,0.331,1.295,0.252
92,2,0.175,0.069,0.258,0.11,0.386,1.141,0.278
92,3,0.188,0.092,0.525,0.15,0.463,0.725,0.235
92,4,0.101,0.061,0.118,0.364,0.535,0.786,0.295
93,1,0.459,0.128,0.146,0.001,0.343,1.257,0.036
93,2,0.193,0.102,0.06,0.012,0.47,1.356,0.192
93,3,0.124,0.071,0.019,0.022,0.374,1.408,0.284
93,4,0.141,0.077,0.119,0.08,0.474,1.247,0.249
94,1,0.134,0.129,0.113,0.141,0.418,1.158,0.217
94,2,0.132,0.072,0.152,0.091,0.376,1.324,0.261
94,3,0.145,0.067,0.201,0.228,0.298,1.254,0.257
94,4,0.135,0.102,0.1,0.182,0.428,1.227,0.204
95,1,0.134,0.101,0.116,0.087,0.304,1.313,0.312
95,2,0.195,0.074,0.112,0.057,0.342,1.308,0.29
95,3,0.186,0.068,0.129,0.171,0.306,1.299,0.279
95,4,0.107,0.087,0.096,0.131,0.327,1.315,0.31
96,1,0.099,0.144,0.024,0.001,0.334,1.526,0.203
96,2,0.067,0.08,0.013,0.092,0.216,1.464,0.278
96,3,0.056,0.083,0.116,0.091,0.213,1.353,0.315
96,4,0.064,0.066,0.041,0.122,0.211,1.46,0.275
97,1,0.124,0.108,0.047,0.004,0.312,1.385,0.198
97,2,0.081,0.091,0.068,0.052,0.339,1.411,0.256
97,3,0.108,0.114,0.017,0.084,0.388,1.433,0.2
97,4,0.109,0.128,0.108,0.03,0.431,1.032,0.214
98,1,0.089,0.129,0.02,0.015,0.422,1.416,0.221
98,2,0.067,0.097,0.079,0.058,0.439,1.375,0.31
98,3,0.086,0.082,0.104,0.126,0.401,1.273,0.273
98,4,0.074,0.078,0.095,0.209,0.484,1.236,0.311
99,1,0.26,0.086,0.169,0.003,0.256,1.212,0.29
99,2,0.258,0.08,0.129,0.079,0.244,1.363,0.249
99,3,0.12,0.129,0.09,0.004,0.281,1.466,0.209
99,4,0.199,0.082,0.106,0.031,0.338,1.339,0.244
100,1,0.12,0.075,0.009,0.003,0.327,1.465,0.296
100,2,0.107,0.097,0.003,0.014,0.433,1.43,0.299
100,3,0.242,0.054,0.136,0.018,0.335,1.304,0.274
100,4,0.204,0.094,0.113,0.084,0.309,1.316,0.231
101,1,0.352,0.152,0.063,0.017,0.466,1.059,0.283
101,2,0.275,0.098,0.144,0.002,0.337,1.098,0.406
101,3,0.153,0.221,0.023,0.001,0.51,1.125,0.275
101,4,0.352,0.081,0.112,0.11,0.356,1.148,0.357
102,1,0.144,0.209,0.056,0.001,0.386,1.443,0.258
102,2,0.203,0.077,0.095,0.049,0.37,1.268,0.369
102,3,0.166,0.086,0.106,0.064,0.329,1.313,0.3
102,4,0.257,0.086,0.135,0,0.35,1.321,0.23
103,1,0.212,0.148,0.009,0.045,0.277,1.286,0.313
103,2,0.264,0.186,0.063,0.006,0.297,1.342,0.179
103,3,0.216,0.138,0.107,0.088,0.286,1.309,0.275
103,4,0.199,0.123,0.131,0.086,0.229,1.326,0.252
104,1,0.366,0.044,0.129,0.064,0.318,1.258,0.23
104,2,0.094,0.089,0.005,0,0.313,1.413,0.29
104,3,0.091,0.093,0.001,0.003,0.335,1.362,0.237
104,4,0.063,0.094,0.002,0.118,0.409,1.399,0.3
105,1,0.261,0.224,0.141,0.059,0.38,1.251,0.346
105,2,0.326,0.21,0.217,0.065,0.397,1.209,0.308
105,3,0.39,0.16,0.089,0.003,0.383,1.117,0.269
105,4,0.313,0.155,0.054,0.099,0.376,1.24,0.319
106,1,0.31,0.244,0.147,0.003,0.337,1.357,0.187
106,2,0.153,0.171,0.001,0.005,0.335,1.315,0.322
106,3,0.199,0.192,0.031,0.022,0.539,1.145,0.345
106,4,0.135,0.211,0.072,0.001,0.55,1.173,0.375
107,1,0.298,0.07,0.097,0.06,0.299,1.332,0.243
107,2,0.098,0.076,0.07,0.124,0.395,1.383,0.373
107,3,0.275,0.056,0.065,0.093,0.321,1.298,0.26
107,4,0.224,0.057,0.121,0.041,0.353,1.27,0.287
108,1,0.123,0.109,0.034,0.213,0.443,1.186,0.214
108,2,0.115,0.087,0.096,0.357,0.659,0.75,0.259
108,3,0.075,0.142,0.207,0.242,0.672,1.096,0.293
108,4,0.104,0.111,0.209,0.268,0.542,1.186,0.248
109,1,0.105,0.119,0.019,0.02,0.315,1.472,0.192
109,2,0.13,0.137,0.126,0.198,0.435,1.305,0.147
109,3,0.127,0.084,0.012,0.192,0.311,1.376,0.17
109,4,0.11,0.095,0.008,0.223,0.375,1.273,0.223
